#OTU ID	DS10fish	DS11fish	DS12fish	DS13fish	DS14fish	DS15fish	DS16fish	DS17fish	DS18fish	DS19fish	DS1fish	DS20fish	DS21fish	DS22fish	DS23fish	DS24fish	DS25fish	DS26fish	DS27fish	DS28fish	DS29fish	DS2fish	DS30fish	DS3fish	DS4fish	DS5fish	DS6fish	DS7fish	DS8fish	DS9fish
Zotu7	227	455	170	628	830	318	36	21	32	0	0	124	89	0	0	0	0	0	0	0	0	0	0	50	71	231	21	18	75	9
Zotu4	2774	492	50	132	249	395	60	240	57	0	0	158	161	1	1	0	0	25	0	4	4	0	8	1656	104	276	80	15	70	47
Zotu2	687	2572	860	313	2752	1198	291	89	136	348	1932	1006	2	2	0	0	0	0	0	0	0	2501	0	21	4719	1	106	622	55	2839
Zotu1	71	1386	3558	1826	152	2499	1502	1091	4999	4508	622	2010	5150	2045	3612	1352	3731	4741	6926	1977	6492	793	8064	2614	311	1271	5939	4878	6487	2054
Zotu12	7	25	14	34	5	34	6	10	53	1	0	18	139	0	12	1	7	10	1	1	6	0	20	232	4	211	36	8	50	10
Zotu6	12	7	0	1	2	0	160	2	2	262	1497	0	2	0	0	0	0	0	0	0	0	985	0	83	42	264	47	2	0	58
Zotu26	0	64	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu11	0	17	319	39	0	0	1	21	34	0	0	0	0	37	37	9	3	33	5	5	161	0	47	0	0	0	0	0	0	0
Zotu9	0	7	0	2	0	14	110	180	75	1109	111	224	0	0	0	0	0	0	0	3	0	20	0	0	95	0	3	2	0	8
Zotu18	0	2	51	1	12	116	38	2	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Zotu3	0	1	0	0	0	0	0	2	1	0	0	0	0	1612	318	3219	578	784	36	3079	136	0	291	1	0	0	0	0	0	0
Zotu22	0	1	36	6	0	0	0	0	18	0	0	0	0	37	33	14	22	59	30	23	55	1	55	6	0	0	0	0	1	1
Zotu24	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	49	0	0	0	0	0	0
Zotu16	0	1	0	0	0	0	0	0	0	0	0	0	5	5	2	1	3	2	0	17	216	0	78	0	0	0	0	0	0	0
Zotu25	0	0	0	2	0	0	0	0	1	0	0	0	3	1	1	0	2	0	1	0	25	0	16	1	0	2	1	0	1	1
Zotu14	0	0	0	0	0	1	0	179	223	0	0	2	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu8	0	0	0	0	0	4	1959	555	63	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu23	0	0	0	0	0	0	0	1	5	0	0	0	7	0	1	2	2	0	1	1	34	0	24	6	0	16	1	0	2	1
Zotu10	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	14	1207	178	37	0	0	0	0	0	0	0	0	0	0	0
Zotu19	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	8	1	0	0	4	0	4	0	0	0	0	0	0	177
Zotu15	0	0	0	0	0	0	0	0	0	0	103	3	0	0	1	0	0	0	0	0	0	141	0	0	46	0	0	0	0	0
Zotu13	0	0	0	0	0	0	0	0	0	0	2	0	0	0	287	0	0	42	57	30	212	0	1	0	0	0	0	0	0	0
Zotu5	0	0	0	0	0	0	0	0	0	0	0	0	1	2991	10	14	13	17	3	20	4	0	2	0	0	0	0	0	0	0
Zotu21	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	1	13	39	4	3	44	0	25	0	0	0	0	0	0	0
Zotu20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	20	5	0	0	1	0	4	0	0	0	0	0	0	0
Zotu27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	10	0	0	0	0	0	0
Zotu17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	1	0	0	0	0	0	0	0	0	0	0	0
